opco,dbTechnology,hostName,variant,tenatnId,dbType,dbVersion,memberStatus,clusterName,port,instanceType,databseRole,isClustered,patchCompliance,env,physMemory,totalCPUs,dbSizeMB,encAtRest,encTechnique,backupMethod,isExternalFacing,sslEnabled,databaseTier,auditCompliance,isDBaaS,dbaasVendor,lastChangeDate
"MARSH","mongo","ausy24v0009","Enterprise","mongo.rs.LIS_UAT.ausy24v0009.28021","traditional","4.2.14","Active","LIS_UAT","28021","mongo.rs","SECONDARY","Yes","No","uat","16637480960","4","4029.27734375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ausy24v0011","Enterprise","mongo.rs.LIS_UAT.ausy24v0011.28019","traditional","4.2.14","Active","LIS_UAT","28019","mongo.rs","SECONDARY","Yes","No","uat","16637480960","4","4029.27734375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ausy24v0011","Enterprise","mongo.rs.LIS_UAT.ausy24v0011.28020","traditional","4.2.14","Active","LIS_UAT","28020","mongo.rs","SECONDARY","Yes","No","uat","16637480960","4","4029.27734375","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","gbbe21v0194","Enterprise","mongo.rs.rs_em_prem_prd01.gbbe21v0194.27020","traditional","4.2.14","Active","rs_em_prem_prd01","27020","mongo.rs","SECONDARY","Yes","No","prod","33547907072","4","125099.1875","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","gbbe21v0195","Enterprise","mongo.rs.rs_em_prem_prd01.gbbe21v0195.27020","traditional","4.2.14","Active","rs_em_prem_prd01","27020","mongo.rs","SECONDARY","Yes","No","prod","33547907072","4","125099.1875","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","gbbe21v0193","Enterprise","mongo.rs.rs_em_prem_prd01.gbbe21v0193.27020","traditional","4.2.14","Active","rs_em_prem_prd01","27020","mongo.rs","PRIMARY","Yes","No","prod","33547907072","4","125099.1875","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-27-160.ec2.internal","Enterprise","mongo.rs.rep_prd02.ip-10-237-27-160.ec2.internal.27013","traditional","4.2.14","Active","rep_prd02","27013","mongo.rs","SECONDARY","Yes","No","prod","66548318208","8","26826.6328125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-42-31.ec2.internal","Enterprise","mongo.rs.rep_prd02.ip-10-237-42-31.ec2.internal.27013","traditional","4.2.14","Active","rep_prd02","27013","mongo.rs","SECONDARY","Yes","No","prod","66548318208","8","26826.6328125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-8-93.ec2.internal","Enterprise","mongo.rs.rep_prd02.ip-10-237-8-93.ec2.internal.27013","traditional","4.2.14","Active","rep_prd02","27013","mongo.rs","PRIMARY","Yes","No","prod","66548318208","8","26826.6328125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
"MARSH","mongo","ip-10-237-74-76.ec2.internal","Enterprise","mongo.rs.rep_stg02.ip-10-237-74-76.ec2.internal.27013","traditional","4.2.14","Active","rep_stg02","27013","mongo.rs","PRIMARY","Yes","No","uat","33080508416","4","63805.67578125","YES","unknown","opsMgr","no","NO","unknown","unknown","no","unknown","Wed, 29 Sep 2021 00:00:00 GMT"
